brand,model,year,price,mileage,fuelType,transmission,engineSize
Wuling,Binguo,2024,"Rp270,000,000","5,000",Bensin,Automatic,1200
Wuling,Air-ev,2023,"Rp170,000,000","12,000",Bensin,Automatic,1200
Wuling,Almaz,2021,"Rp205,000,000","22,000",Bensin,Automatic,1500
Wuling,Almaz,2019,"Rp180,000,000","40,032",Bensin,Automatic,1500
Wuling,Cloud,2024,"Rp355,000,000","1,000",Bensin,Automatic,1200
Wuling,Cloud,2024,"Rp360,000,000","1,000",Bensin,Automatic,1200
Wuling,Alvez,2023,"Rp230,000,000","13,000",Bensin,Automatic,1500
Wuling,Air-ev,2023,"Rp160,000,000","2,029",Bensin,Automatic,1200
Wuling,Almaz,2021,"Rp225,000,000","26,000",Bensin,Automatic,1500
Wuling,Almaz,2020,"Rp190,000,000","54,000",Bensin,Automatic,1500
Wuling,Confero,2019,"Rp110,000,000","85,632",Bensin,Manual,1500
Wuling,Almaz,2019,"Rp179,000,000","37,565",Bensin,Automatic,1500
Wuling,Almaz,2019,"Rp190,000,000","23,001",Bensin,Automatic,1500
Wuling,Cortez,2019,"Rp140,000,000","79,003",Bensin,Automatic,1500
Wuling,Almaz,2019,"Rp175,000,000","90,001",Bensin,Automatic,1500
Wuling,Cortez,2018,"Rp140,000,000","94,157",Bensin,Automatic,1500
Wuling,Cortez,2018,"Rp119,000,000","100,012",Bensin,Automatic,1500
Wuling,Confero,2017,"Rp99,000,000","78,520",Bensin,Manual,1500
Wuling,Confero,2017,"Rp98,000,000","101,960",Bensin,Manual,1500
Wuling,Confero,2017,"Rp97,000,000","78,521",Bensin,Manual,1500
Wuling,Air-ev,2023,"Rp164,000,000","17,000",Bensin,Automatic,1200
Wuling,Air-ev,2022,"Rp162,000,000","18,000",Bensin,Automatic,1200
Wuling,Air-ev,2025,"Rp188,000,000","1,000",Bensin,Automatic,1200
Wuling,Air-ev,2023,"Rp187,000,000","32,000",Bensin,Automatic,1200
Wuling,Cortez,2022,"Rp207,000,000","40,000",Bensin,Automatic,1500
Wuling,Almaz,2021,"Rp185,000,000","96,000",Bensin,Automatic,1500
Wuling,Almaz,2021,"Rp237,000,000","59,000",Bensin,Automatic,1500
Wuling,Almaz,2021,"Rp242,000,000","27,000",Bensin,Automatic,1500
Wuling,Almaz,2019,"Rp185,000,000","35,000",Bensin,Automatic,1500
Wuling,Confero,2017,"Rp80,000,000","197,138",Bensin,Manual,1500
Wuling,Confero,2018,"Rp78,000,000","155,261",Bensin,Manual,1500
Wuling,Cloud,2024,"Rp340,000,000","8,826",Bensin,Automatic,1200
Wuling,Alvez,2023,"Rp225,000,000","20,000",Bensin,Automatic,1500
