brand,model,year,price,mileage,fuelType,transmission,engineSize
Daihatsu,Terios,2023,"Rp210,000,000","95,219",Bensin,Manual,1500
Daihatsu,Ayla,2022,"Rp110,000,000","51,900",Bensin,Manual,1200
Daihatsu,Ayla,2022,"Rp107,000,000","5,093",Bensin,Manual,1200
Daihatsu,Xenia,2019,"Rp145,000,000","148,000",Bensin,Manual,1300
Daihatsu,Ayla,2015,"Rp85,000,000","91,457",Bensin,Manual,1000
Daihatsu,Terios,2013,"Rp132,000,000","149,000",Bensin,Manual,1500
Daihatsu,Ayla,2022,"Rp117,000,000","19,543",Bensin,Manual,1200
Daihatsu,Xenia,2021,"Rp168,000,000","49,110",Bensin,Manual,1300
Daihatsu,Ayla,2022,"Rp80,000,000","87,900",Bensin,Manual,1200
Daihatsu,Sigra,2023,"Rp140,000,000","99,000",Bensin,Manual,1200
Daihatsu,Sigra,2023,"Rp117,000,000","27,000",Bensin,Manual,1000
Daihatsu,Sigra,2022,"Rp113,000,000","63,959",Bensin,Manual,1000
Daihatsu,Sigra,2018,"Rp108,000,000","71,425",Bensin,Manual,1200
Daihatsu,Ayla,2017,"Rp110,000,000","72,000",Bensin,Manual,1000
Daihatsu,Ayla,2016,"Rp85,000,000","75,000",Bensin,Manual,1000
Daihatsu,Ayla,2023,"Rp105,000,000","35,126",Bensin,Manual,1200
Daihatsu,Xenia,2014,"Rp101,000,000","104,240",Bensin,Manual,1300
Daihatsu,Xenia,2013,"Rp115,000,000","146,135",Bensin,Manual,1300
Daihatsu,Ayla,2012,"Rp80,000,000","167,125",Bensin,Manual,1000
Daihatsu,Xenia,2012,"Rp99,000,000","103,278",Bensin,Manual,1300
Daihatsu,Xenia,2010,"Rp82,000,000","204,301",Bensin,Manual,1300
Daihatsu,Ayla,2020,"Rp128,000,000","30,057",Bensin,Manual,1200
Daihatsu,Xenia,2019,"Rp170,000,000","30,000",Bensin,Automatic,1300
Daihatsu,Ayla,2023,"Rp115,000,000","35,442",Bensin,Manual,1200
Daihatsu,Xenia,2021,"Rp175,000,000","87,002",Bensin,Manual,1300
Daihatsu,Ayla,2020,"Rp127,000,000","66,033",Bensin,Automatic,1200
Daihatsu,Terios,2018,"Rp184,000,000","41,422",Bensin,Manual,1500
Daihatsu,Terios,2013,"Rp109,000,000","271,000",Bensin,Manual,1500
Daihatsu,Terios,2016,"Rp147,000,000","109,700",Bensin,Manual,1500
Daihatsu,Ayla,2012,"Rp80,000,000","167,124",Bensin,Manual,1000
Daihatsu,Xenia,2021,"Rp165,000,000","60,918",Bensin,Manual,1300
Daihatsu,Ayla,2013,"Rp75,000,000","130,188",Bensin,Manual,1000
Daihatsu,Xenia,2014,"Rp86,000,000","193,412",Bensin,Manual,1300
Daihatsu,Sigra,2023,"Rp145,000,000","10,000",Bensin,Manual,1200
Daihatsu,Sigra,2022,"Rp132,000,000","44,000",Bensin,Automatic,1200
Daihatsu,Sigra,2018,"Rp95,000,000","102,002",Bensin,Manual,1200
Daihatsu,Sigra,2019,"Rp109,000,000","51,559",Bensin,Manual,1200
Daihatsu,Gran max,2013,"Rp77,000,000","193,676",Bensin,Manual,1300
Daihatsu,Xenia,2019,"Rp150,000,000","111,000",Bensin,Manual,1300
Daihatsu,Xenia,2022,"Rp225,000,000","26,000",Bensin,Automatic,1300
Daihatsu,Xenia,2021,"Rp175,000,000","63,000",Bensin,Manual,1300
Daihatsu,Gran max,2020,"Rp145,000,000","49,000",Bensin,Manual,1300
Daihatsu,Xenia,2019,"Rp175,000,000","22,272",Bensin,Manual,1300
Daihatsu,Terios,2020,"Rp220,000,000","50,088",Bensin,Automatic,1500
Daihatsu,Terios,2016,"Rp132,000,000","100,000",Bensin,Automatic,1500
Daihatsu,Ayla,2022,"Rp125,000,000","30,000",Bensin,Automatic,1200
Daihatsu,Ayla,2021,"Rp130,000,000","34,000",Bensin,Automatic,1200
Daihatsu,Ayla,2016,"Rp95,000,000","67,000",Bensin,Manual,1000
Daihatsu,Xenia,2017,"Rp167,000,000","48,000",Bensin,Manual,1300
Daihatsu,Xenia,2022,"Rp205,000,000","55,000",Bensin,Automatic,1300
Daihatsu,Gran max,2019,"Rp98,000,000","98,000",Bensin,Manual,1300
Daihatsu,Gran max,2022,"Rp179,000,000","20,000",Bensin,Manual,1300
Daihatsu,Xenia,2015,"Rp127,000,000","121,000",Bensin,Manual,1300
Daihatsu,Xenia,2018,"Rp137,000,000","86,000",Bensin,Manual,1300
Daihatsu,Ayla,2022,"Rp148,000,000","14,000",Bensin,Automatic,1200
Daihatsu,Xenia,2014,"Rp129,000,000","105,000",Bensin,Manual,1300
Daihatsu,Terios,2022,"Rp205,000,000","43,799",Bensin,Manual,1500
Daihatsu,Sigra,2017,"Rp125,000,000","69,000",Bensin,Automatic,1200
Daihatsu,Sigra,2019,"Rp115,000,000","115,000",Bensin,Automatic,1200
Daihatsu,Sigra,2024,"Rp156,000,000","6,000",Bensin,Automatic,1200
Daihatsu,Sigra,2024,"Rp162,000,000","3,000",Bensin,Automatic,1200
Daihatsu,Sigra,2021,"Rp145,000,000","30,000",Bensin,Automatic,1200
Daihatsu,Sigra,2023,"Rp105,000,000","56,000",Bensin,Manual,1000
Daihatsu,Xenia,2019,"Rp175,000,000","56,000",Bensin,Automatic,1300
Daihatsu,Xenia,2022,"Rp195,000,000","8,000",Bensin,Automatic,1300
Daihatsu,Gran max,2020,"Rp140,000,000","67,000",Bensin,Manual,1300
Daihatsu,Xenia,2021,"Rp178,000,000","87,688",Bensin,Automatic,1300
Daihatsu,Xenia,2023,"Rp215,000,000","24,789",Bensin,Automatic,1300
Daihatsu,Xenia,2022,"Rp199,000,000","70,000",Bensin,Automatic,1300
Daihatsu,Terios,2014,"Rp130,000,000","104,000",Bensin,Manual,1500
Daihatsu,Ayla,2020,"Rp127,000,000","32,000",Bensin,Manual,1200
Daihatsu,Xenia,2018,"Rp150,000,000","82,000",Bensin,Manual,1300
Daihatsu,Terios,2024,"Rp225,000,000","10,000",Bensin,Automatic,1500
Daihatsu,Terios,2023,"Rp243,000,000","24,751",Bensin,Automatic,1500
Daihatsu,Terios,2023,"Rp230,000,000","8,000",Bensin,Manual,1500
Daihatsu,Terios,2019,"Rp210,000,000","82,000",Bensin,Manual,1500
Daihatsu,Terios,2019,"Rp205,000,000","87,684",Bensin,Manual,1500
Daihatsu,Terios,2015,"Rp155,000,000","61,614",Bensin,Manual,1500
Daihatsu,Gran max,2023,"Rp193,000,000","25,234",Bensin,Manual,1300
Daihatsu,Gran max,2021,"Rp178,000,000","68,312",Bensin,Manual,1500
Daihatsu,Gran max,2021,"Rp193,000,000","44,332",Bensin,Automatic,1500
Daihatsu,Ayla,2023,"Rp150,000,000","10,907",Bensin,Manual,1200
Daihatsu,Ayla,2015,"Rp98,000,000","37,539",Bensin,Automatic,1000
Daihatsu,Xenia,2021,"Rp175,000,000","68,931",Bensin,Manual,1300
Daihatsu,Terios,2023,"Rp245,000,000","24,133",Bensin,Automatic,1500
Daihatsu,Terios,2021,"Rp208,000,000","41,108",Bensin,Automatic,1500
Daihatsu,Ayla,2021,"Rp138,000,000","49,973",Bensin,Automatic,1200
Daihatsu,Terios,2022,"Rp220,000,000","39,232",Bensin,Automatic,1500
Daihatsu,Ayla,2023,"Rp132,000,000","14,454",Bensin,Manual,1200
Daihatsu,Ayla,2020,"Rp120,000,000","11,024",Bensin,Manual,1200
Daihatsu,Xenia,2016,"Rp118,000,000","110,000",Bensin,Manual,1300
Daihatsu,Xenia,2013,"Rp115,000,000","125,144",Bensin,Manual,1300
Daihatsu,Ayla,2023,"Rp135,000,000","11,203",Bensin,Manual,1200
Daihatsu,Ayla,2021,"Rp98,000,000","53,556",Bensin,Manual,1200
Daihatsu,Terios,2020,"Rp208,000,000","47,173",Bensin,Automatic,1500
Daihatsu,Ayla,2023,"Rp175,000,000","8,945",Bensin,Automatic,1200
Daihatsu,Sigra,2024,"Rp148,000,000","5,000",Bensin,Manual,1200
