brand,model,year,price,mileage,fuelType,transmission,engineSize
Honda,Brio,2023,"Rp165,000,000","33,000",Bensin,Manual,1200
Honda,Brio,2020,"Rp150,000,000","53,126",Bensin,Automatic,1200
Honda,Brio,2018,"Rp123,000,000","65,161",Bensin,Automatic,1200
Honda,Mobilio,2015,"Rp115,000,000","103,001",Bensin,Manual,1500
Honda,Mobilio,2014,"Rp117,000,000","80,224",Bensin,Manual,1500
Honda,Hr-v,2017,"Rp273,000,000","82,000",Bensin,Automatic,1500
Honda,Hr-v,2017,"Rp220,000,000","99,000",Bensin,Automatic,1500
Honda,Brio,2016,"Rp110,000,000","80,121",Bensin,Manual,1200
Honda,Brio,2015,"Rp122,000,000","127,216",Bensin,Automatic,1200
Honda,Mobilio,2016,"Rp115,000,000","155,116",Bensin,Manual,1500
Honda,Brio,2015,"Rp108,000,000","96,586",Bensin,Automatic,1200
Honda,Jazz,2015,"Rp170,000,000","101,279",Bensin,Automatic,1500
Honda,Cr-v,2015,"Rp185,000,000","115,066",Bensin,Automatic,2400
Honda,Jazz,2015,"Rp175,000,000","141,878",Bensin,Automatic,1500
Honda,Cr-v,2015,"Rp185,000,000","137,969",Bensin,Automatic,2400
Honda,Mobilio,2015,"Rp105,000,000","140,012",Bensin,Manual,1500
Honda,Brio,2014,"Rp127,000,000","82,000",Bensin,Automatic,1200
Honda,Jazz,2010,"Rp128,000,000","181,718",Bensin,Automatic,1500
Honda,Mobilio,2014,"Rp120,000,000","117,613",Bensin,Manual,1500
Honda,Brio,2020,"Rp140,000,000","44,000",Bensin,Manual,1200
Honda,Cr-v,2012,"Rp140,000,000","136,500",Bensin,Automatic,2400
Honda,Cr-v,2013,"Rp165,000,000","99,000",Bensin,Automatic,2400
Honda,Hr-v,2016,"Rp178,000,000","125,827",Bensin,Automatic,1500
Honda,Brio,2021,"Rp148,000,000","60,200",Bensin,Manual,1200
Honda,Mobilio,2014,"Rp120,000,000",132000,Bensin,manual,1500
Honda,Brio,2017,"Rp142,000,000","66,000",Bensin,Manual,1200
Honda,Br-v,2017,"Rp163,000,000","156,756",Bensin,Automatic,1500
