brand,model,year,price,mileage,fuelType,transmission,engineSize
Mitsubishi,Pajero,2016,"Rp373,000,000","110,966",Diesel,Automatic,2400
Mitsubishi,Xpander,2021,"Rp245,000,000","50,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2019,"Rp200,000,000","100,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2019,"Rp219,000,000","52,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2018,"Rp230,000,000","57,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2017,"Rp208,000,000","154,853",Bensin,Automatic,1500
Mitsubishi,Pajero,2022,"Rp520,000,000","32,243",Diesel,Automatic,2400
Mitsubishi,Pajero,2019,"Rp412,000,000","71,000",Diesel,Automatic,2400
Mitsubishi,Pajero,2018,"Rp280,000,000","125,904",Diesel,Manual,2400
Mitsubishi,Pajero,2018,"Rp420,000,000","58,000",Diesel,Automatic,2400
Mitsubishi,Pajero,2019,"Rp425,000,000","74,000",Diesel,Automatic,2400
Mitsubishi,Pajero,2016,"Rp310,000,000","131,686",Diesel,Automatic,2400
Mitsubishi,Pajero,2016,"Rp349,000,000","100,012",Diesel,Automatic,2400
Mitsubishi,Xpander,2021,"Rp242,000,000","77,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2021,"Rp205,000,000","49,000",Bensin,Automatic,1500
Mitsubishi,Outlander,2014,"Rp190,000,000","67,000",Bensin,Automatic,2000
Mitsubishi,Xpander,2024,"Rp248,000,000","27,526",Bensin,Automatic,1500
Mitsubishi,Xpander,2023,"Rp278,000,000","9,411",Bensin,Manual,1500
Mitsubishi,Xpander,2023,"Rp310,000,000","10,347",Bensin,Automatic,1500
Mitsubishi,Xpander,2022,"Rp278,000,000","17,845",Bensin,Automatic,1500
Mitsubishi,Xpander,2022,"Rp292,000,000","19,280",Bensin,Automatic,1500
Mitsubishi,Xpander,2021,"Rp228,000,000","46,028",Bensin,Automatic,1500
Mitsubishi,Xpander,2019,"Rp205,000,000","100,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2019,"Rp205,000,000","86,465",Bensin,Automatic,1500
Mitsubishi,Xpander,2019,"Rp235,000,000","36,568",Bensin,Automatic,1500
Mitsubishi,Xpander,2018,"Rp200,000,000","85,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2018,"Rp205,000,000","113,001",Bensin,Automatic,1500
Mitsubishi,Outlander,2016,"Rp189,000,000","159,023",Bensin,Automatic,2000
Mitsubishi,Outlander,2014,"Rp155,000,000","147,105",Bensin,Automatic,2000
Mitsubishi,Outlander,2013,"Rp150,000,000","90,000",Bensin,Automatic,2000
Mitsubishi,Xpander,2022,"Rp289,000,000","28,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2018,"Rp200,000,000","88,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2021,"Rp247,000,000","47,000",Bensin,Automatic,1500
Mitsubishi,Outlander,2017,"Rp208,000,000","76,000",Bensin,Automatic,2000
Mitsubishi,Xpander,2023,"Rp238,000,000","32,928",Bensin,Manual,1500
Mitsubishi,Xpander,2018,"Rp220,000,000","18,888",Bensin,Automatic,1500
Mitsubishi,Xpander,2017,"Rp158,000,000","82,216",Bensin,Automatic,1500
Mitsubishi,Xpander,2023,"Rp315,000,000","8,000",Bensin,Automatic,1500
Mitsubishi,Xpander,2022,"Rp300,000,000","24,000",Bensin,Automatic,1500
Mitsubishi,Pajero,2021,"Rp520,000,000","64,000",Diesel,Automatic,2400
Mitsubishi,Pajero,2021,"Rp495,000,000","55,000",Diesel,Automatic,2400
Mitsubishi,Pajero,2021,"Rp515,000,000","59,000",Diesel,Automatic,2400
Mitsubishi,Xpander,2024,"Rp295,000,000","5,846",Bensin,Manual,1500
Mitsubishi,Xpander,2023,"Rp297,000,000","17,683",Bensin,Automatic,1500
Mitsubishi,XForce,2023,"Rp300,000,000","8,000",Bensin,Automatic,1500
Mitsubishi,Pajero,2023,"Rp538,000,000","29,937",Diesel,Automatic,2400
Mitsubishi,Pajero,2023,"Rp575,000,000","9,000",Diesel,Automatic,2400
Mitsubishi,Pajero,2019,"Rp405,000,000","47,021",Diesel,Automatic,2400
Mitsubishi,Pajero,2018,"Rp448,000,000","37,774",Diesel,Automatic,2400
Mitsubishi,Pajero,2015,"Rp245,000,000","12,345",Diesel,Automatic,2400
Mitsubishi,Pajero,2014,"Rp230,000,000","1,234",Diesel,Automatic,2400
Mitsubishi,Pajero,2010,"Rp185,000,000","12,345",Diesel,Automatic,2400
Mitsubishi,Pajero,2024,"Rp595,000,000","14,273",Diesel,Automatic,2400
Mitsubishi,Xpander,2023,"Rp299,000,000","37,000",Bensin,Automatic,1500
