brand,model,year,price,mileage,fuelType,transmission,engineSize
Suzuki,Ertiga,2012,90000000,"127,540",Bensin,Manual,1400
Suzuki,Ertiga,2023,198000000,"3,934",Bensin,Manual,1400
Suzuki,Grand Vitara,2018,160000000,"98,040",Bensin,Automatic,2400
Suzuki,Ignis,2017,128000000,"99,000",Bensin,Automatic,1200
Suzuki,Ertiga,2022,195000000,"82,590",Bensin,Manual,1400
Suzuki,Ertiga,2020,177000000,"42,000",Bensin,Automatic,1400
Suzuki,Ertiga,2022,191000000,"30,000",Bensin,Automatic,1400
Suzuki,Ertiga,2015,120000000,"33,000",Bensin,Automatic,1400
Suzuki,Ertiga,2022,210000000,"10,000",Bensin,Automatic,1400
Suzuki,Ertiga,2019,180000000,"36,904",Bensin,Manual,1400
Suzuki,Ertiga,2018,155000000,"12,345",Bensin,Automatic,1400
Suzuki,Ertiga,2018,179000000,"180,000",Bensin,Automatic,1400
Suzuki,Ertiga,2014,125000000,"110,001",Bensin,Automatic,1400
Suzuki,Ertiga,2013,125000000,"100,012",Bensin,Automatic,1400
Suzuki,Ertiga,2013,124000000,"107,001",Bensin,Automatic,1400
Suzuki,Ertiga,2013,125000000,"152,553",Bensin,Automatic,1400
Suzuki,Ertiga,2022,232000000,"27,000",Bensin,Automatic,1400
Suzuki,Carry,2023,135000000,"8,000",Bensin,Manual,1500
Suzuki,APV,2018,178000000,"30,001",Bensin,Manual,1500
Suzuki,Baleno,2018,155000000,"50,000",Bensin,Automatic,1400
Suzuki,Grand Vitara,2016,145000000,"76,002",Bensin,Manual,2400
Suzuki,APV,2014,114000000,"132,016",Bensin,Automatic,1500
Suzuki,XL7,2024,235000000,"1,581",Bensin,Manual,1500
Suzuki,Grand Vitara,2024,330000000,"9,000",Bensin,Automatic,2400
Suzuki,APV,2024,490000000,"9,000",Bensin,Automatic,1500
Suzuki,Ertiga,2022,230000000,"46,000",Bensin,Automatic,1400
Suzuki,Baleno,2021,180000000,"57,000",Bensin,Automatic,1400
Suzuki,Baleno,2022,225000000,"35,266",Bensin,Automatic,1400
Suzuki,APV,2021,480000000,"20,000",Bensin,Automatic,1500
Suzuki,Ertiga,2023,250000000,"21,000",Bensin,Automatic,1400
Suzuki,Grand Vitara,2023,305000000,"24,617",Bensin,Automatic,2400
Suzuki,Ertiga,2022,235000000,"30,000",Bensin,Automatic,1400
Suzuki,Baleno,2008,90000000,"90,003",Bensin,Automatic,1400
Suzuki,Baleno,2019,165000000,"102,000",Bensin,Automatic,1400
Suzuki,Grand Vitara,2011,90000000,"130,000",Bensin,Automatic,2400
Suzuki,APV,2024,500000000,"2,000",Bensin,Automatic,1500
Suzuki,Ertiga,2023,247000000,"22,000",Bensin,Automatic,1400
Suzuki,Grand Vitara,2023,330000000,"10,000",Bensin,Automatic,2400
Suzuki,XL7,2022,235000000,"65,000",Bensin,Automatic,1500
Suzuki,APV,2020,520000000,"8,000",Bensin,Automatic,1500
Suzuki,Ertiga,2023,240000000,"38,000",Bensin,Automatic,1400
